XCoord,YCoord,XCOORD,YCOORD,ID500M
4465750.00000000,3589250.00000000,4465750.000000,3589250.000000,500mE44655N35890
4466250.00000000,3589250.00000000,4466250.000000,3589250.000000,500mE44660N35890
4466750.00000000,3589250.00000000,4466750.000000,3589250.000000,500mE44665N35890
4467250.00000000,3589250.00000000,4467250.000000,3589250.000000,500mE44670N35890
4467750.00000000,3589250.00000000,4467750.000000,3589250.000000,500mE44675N35890
4468250.00000000,3589250.00000000,4468250.000000,3589250.000000,500mE44680N35890
4468750.00000000,3589250.00000000,4468750.000000,3589250.000000,500mE44685N35890
4469250.00000000,3589250.00000000,4469250.000000,3589250.000000,500mE44690N35890
4469750.00000000,3589250.00000000,4469750.000000,3589250.000000,500mE44695N35890
4470250.00000000,3589250.00000000,4470250.000000,3589250.000000,500mE44700N35890
4470750.00000000,3589250.00000000,4470750.000000,3589250.000000,500mE44705N35890
4471250.00000000,3589250.00000000,4471250.000000,3589250.000000,500mE44710N35890
4471750.00000000,3589250.00000000,4471750.000000,3589250.000000,500mE44715N35890
4460750.00000000,3589750.00000000,4460750.000000,3589750.000000,500mE44605N35895
4461250.00000000,3589750.00000000,4461250.000000,3589750.000000,500mE44610N35895
4461750.00000000,3589750.00000000,4461750.000000,3589750.000000,500mE44615N35895
4462250.00000000,3589750.00000000,4462250.000000,3589750.000000,500mE44620N35895
4462750.00000000,3589750.00000000,4462750.000000,3589750.000000,500mE44625N35895
4463250.00000000,3589750.00000000,4463250.000000,3589750.000000,500mE44630N35895
4463750.00000000,3589750.00000000,4463750.000000,3589750.000000,500mE44635N35895
4464250.00000000,3589750.00000000,4464250.000000,3589750.000000,500mE44640N35895
4464750.00000000,3589750.00000000,4464750.000000,3589750.000000,500mE44645N35895
4465250.00000000,3589750.00000000,4465250.000000,3589750.000000,500mE44650N35895
4465750.00000000,3589750.00000000,4465750.000000,3589750.000000,500mE44655N35895
4466250.00000000,3589750.00000000,4466250.000000,3589750.000000,500mE44660N35895
4466750.00000000,3589750.00000000,4466750.000000,3589750.000000,500mE44665N35895
4467250.00000000,3589750.00000000,4467250.000000,3589750.000000,500mE44670N35895
4467750.00000000,3589750.00000000,4467750.000000,3589750.000000,500mE44675N35895
4468250.00000000,3589750.00000000,4468250.000000,3589750.000000,500mE44680N35895
4468750.00000000,3589750.00000000,4468750.000000,3589750.000000,500mE44685N35895
4469250.00000000,3589750.00000000,4469250.000000,3589750.000000,500mE44690N35895
4469750.00000000,3589750.00000000,4469750.000000,3589750.000000,500mE44695N35895
4470250.00000000,3589750.00000000,4470250.000000,3589750.000000,500mE44700N35895
4470750.00000000,3589750.00000000,4470750.000000,3589750.000000,500mE44705N35895
4471250.00000000,3589750.00000000,4471250.000000,3589750.000000,500mE44710N35895
4460750.00000000,3590250.00000000,4460750.000000,3590250.000000,500mE44605N35900
4461250.00000000,3590250.00000000,4461250.000000,3590250.000000,500mE44610N35900
4461750.00000000,3590250.00000000,4461750.000000,3590250.000000,500mE44615N35900
4462250.00000000,3590250.00000000,4462250.000000,3590250.000000,500mE44620N35900
4462750.00000000,3590250.00000000,4462750.000000,3590250.000000,500mE44625N35900
4463250.00000000,3590250.00000000,4463250.000000,3590250.000000,500mE44630N35900
4463750.00000000,3590250.00000000,4463750.000000,3590250.000000,500mE44635N35900
4464250.00000000,3590250.00000000,4464250.000000,3590250.000000,500mE44640N35900
4464750.00000000,3590250.00000000,4464750.000000,3590250.000000,500mE44645N35900
4465250.00000000,3590250.00000000,4465250.000000,3590250.000000,500mE44650N35900
4465750.00000000,3590250.00000000,4465750.000000,3590250.000000,500mE44655N35900
4466250.00000000,3590250.00000000,4466250.000000,3590250.000000,500mE44660N35900
4466750.00000000,3590250.00000000,4466750.000000,3590250.000000,500mE44665N35900
