XCoord,YCoord,ID500M
4472750.00000000,3583250.00000000,500mE44725N35830
4473250.00000000,3583250.00000000,500mE44730N35830
4473750.00000000,3583250.00000000,500mE44735N35830
4474250.00000000,3583250.00000000,500mE44740N35830
4474750.00000000,3583250.00000000,500mE44745N35830
4475250.00000000,3583250.00000000,500mE44750N35830
4475750.00000000,3583250.00000000,500mE44755N35830
4476250.00000000,3583250.00000000,500mE44760N35830
4476750.00000000,3583250.00000000,500mE44765N35830
4477250.00000000,3583250.00000000,500mE44770N35830
4477750.00000000,3583250.00000000,500mE44775N35830
4478250.00000000,3583250.00000000,500mE44780N35830
4478750.00000000,3583250.00000000,500mE44785N35830
4479250.00000000,3583250.00000000,500mE44790N35830
4479750.00000000,3583250.00000000,500mE44795N35830
4480250.00000000,3583250.00000000,500mE44800N35830
4480750.00000000,3583250.00000000,500mE44805N35830
4481250.00000000,3583250.00000000,500mE44810N35830
4481750.00000000,3583250.00000000,500mE44815N35830
4482250.00000000,3583250.00000000,500mE44820N35830
4482750.00000000,3583250.00000000,500mE44825N35830
4483250.00000000,3583250.00000000,500mE44830N35830
4483750.00000000,3583250.00000000,500mE44835N35830
4484250.00000000,3583250.00000000,500mE44840N35830
4484750.00000000,3583250.00000000,500mE44845N35830
4485250.00000000,3583250.00000000,500mE44850N35830
4485750.00000000,3583250.00000000,500mE44855N35830
4486250.00000000,3583250.00000000,500mE44860N35830
4486750.00000000,3583250.00000000,500mE44865N35830
4487250.00000000,3583250.00000000,500mE44870N35830
4487750.00000000,3583250.00000000,500mE44875N35830
4488250.00000000,3583250.00000000,500mE44880N35830
4488750.00000000,3583250.00000000,500mE44885N35830
4489250.00000000,3583250.00000000,500mE44890N35830
4468750.00000000,3583750.00000000,500mE44685N35835
4469250.00000000,3583750.00000000,500mE44690N35835
4469750.00000000,3583750.00000000,500mE44695N35835
4470250.00000000,3583750.00000000,500mE44700N35835
4470750.00000000,3583750.00000000,500mE44705N35835
4471250.00000000,3583750.00000000,500mE44710N35835
4471750.00000000,3583750.00000000,500mE44715N35835
4472250.00000000,3583750.00000000,500mE44720N35835
4472750.00000000,3583750.00000000,500mE44725N35835
4473250.00000000,3583750.00000000,500mE44730N35835
4473750.00000000,3583750.00000000,500mE44735N35835
4474250.00000000,3583750.00000000,500mE44740N35835
4474750.00000000,3583750.00000000,500mE44745N35835
4475250.00000000,3583750.00000000,500mE44750N35835
4475750.00000000,3583750.00000000,500mE44755N35835
4476250.00000000,3583750.00000000,500mE44760N35835
4476750.00000000,3583750.00000000,500mE44765N35835
4477250.00000000,3583750.00000000,500mE44770N35835
4477750.00000000,3583750.00000000,500mE44775N35835
4478250.00000000,3583750.00000000,500mE44780N35835
4478750.00000000,3583750.00000000,500mE44785N35835
4479250.00000000,3583750.00000000,500mE44790N35835
4479750.00000000,3583750.00000000,500mE44795N35835
4480250.00000000,3583750.00000000,500mE44800N35835
4480750.00000000,3583750.00000000,500mE44805N35835
4481250.00000000,3583750.00000000,500mE44810N35835
4481750.00000000,3583750.00000000,500mE44815N35835
4482250.00000000,3583750.00000000,500mE44820N35835
4482750.00000000,3583750.00000000,500mE44825N35835
4483250.00000000,3583750.00000000,500mE44830N35835
4483750.00000000,3583750.00000000,500mE44835N35835
4484250.00000000,3583750.00000000,500mE44840N35835
4484750.00000000,3583750.00000000,500mE44845N35835
4485250.00000000,3583750.00000000,500mE44850N35835
4485750.00000000,3583750.00000000,500mE44855N35835
4486250.00000000,3583750.00000000,500mE44860N35835
4486750.00000000,3583750.00000000,500mE44865N35835
4487250.00000000,3583750.00000000,500mE44870N35835
4487750.00000000,3583750.00000000,500mE44875N35835
4488250.00000000,3583750.00000000,500mE44880N35835
4488750.00000000,3583750.00000000,500mE44885N35835
4489250.00000000,3583750.00000000,500mE44890N35835
4489750.00000000,3583750.00000000,500mE44895N35835
4490250.00000000,3583750.00000000,500mE44900N35835
4490750.00000000,3583750.00000000,500mE44905N35835
4491250.00000000,3583750.00000000,500mE44910N35835
4468750.00000000,3584250.00000000,500mE44685N35840
4469250.00000000,3584250.00000000,500mE44690N35840
4469750.00000000,3584250.00000000,500mE44695N35840
4470250.00000000,3584250.00000000,500mE44700N35840
4470750.00000000,3584250.00000000,500mE44705N35840
4471250.00000000,3584250.00000000,500mE44710N35840
4471750.00000000,3584250.00000000,500mE44715N35840
4472250.00000000,3584250.00000000,500mE44720N35840
4472750.00000000,3584250.00000000,500mE44725N35840
4473250.00000000,3584250.00000000,500mE44730N35840
4473750.00000000,3584250.00000000,500mE44735N35840
4474250.00000000,3584250.00000000,500mE44740N35840
4474750.00000000,3584250.00000000,500mE44745N35840
4475250.00000000,3584250.00000000,500mE44750N35840
4475750.00000000,3584250.00000000,500mE44755N35840
4476250.00000000,3584250.00000000,500mE44760N35840
4476750.00000000,3584250.00000000,500mE44765N35840
4477250.00000000,3584250.00000000,500mE44770N35840
4477750.00000000,3584250.00000000,500mE44775N35840
4478250.00000000,3584250.00000000,500mE44780N35840
4478750.00000000,3584250.00000000,500mE44785N35840
4479250.00000000,3584250.00000000,500mE44790N35840
4479750.00000000,3584250.00000000,500mE44795N35840
4480250.00000000,3584250.00000000,500mE44800N35840
4480750.00000000,3584250.00000000,500mE44805N35840
4481250.00000000,3584250.00000000,500mE44810N35840
4481750.00000000,3584250.00000000,500mE44815N35840
4482250.00000000,3584250.00000000,500mE44820N35840
4482750.00000000,3584250.00000000,500mE44825N35840
4483250.00000000,3584250.00000000,500mE44830N35840
4483750.00000000,3584250.00000000,500mE44835N35840
4484250.00000000,3584250.00000000,500mE44840N35840
4484750.00000000,3584250.00000000,500mE44845N35840
4485250.00000000,3584250.00000000,500mE44850N35840
