XCoord,YCoord,layer
4478750,3688250,0
4479250,3688250,0
4479750,3688250,0
4480250,3688250,0
4480750,3688250,0
4481250,3688250,0
4481750,3688250,0
4482250,3688250,0
4482750,3688250,1
4483250,3688250,1
4483750,3688250,1
4484250,3688250,1
4484750,3688250,1
4485250,3688250,1
4485750,3688250,1
4486250,3688250,1
4486750,3688250,1
4487250,3688250,1
4487750,3688250,1
4488250,3688250,1
4488750,3688250,1
4489250,3688250,1
4489750,3688250,1
4490250,3688250,1
4490750,3688250,1
4491250,3688250,1
4491750,3688250,1
4492250,3688250,1
4492750,3688250,1
4493250,3688250,1
4493750,3688250,0.227949596596366
4494250,3688250,0
4494750,3688250,0
4495250,3688250,0
4495750,3688250,0
4496250,3688250,0
4496750,3688250,0
4497250,3688250,0
4497750,3688250,0
4498250,3688250,0
4498750,3688250,0
4499250,3688250,0
4499750,3688250,0
4500250,3688250,0
4500750,3688250,0
4501250,3688250,0
4501750,3688250,0
4502250,3688250,0
4502750,3688250,0
4503250,3688250,0
4503750,3688250,0
4504250,3688250,0
4504750,3688250,0
4505250,3688250,0
4505750,3688250,0
4506250,3688250,0
4506750,3688250,0
4507250,3688250,0
4507750,3688250,0
4508250,3688250,0
4508750,3688250,0
4509250,3688250,0
4509750,3688250,0
4510250,3688250,0
4510750,3688250,0
4511250,3688250,0
4511750,3688250,0
4512250,3688250,0
4512750,3688250,0
4513250,3688250,0
4513750,3688250,0
4459750,3687750,0
4460250,3687750,0
4460750,3687750,0
4461250,3687750,0
4461750,3687750,0
4462250,3687750,0
4462750,3687750,0
4463250,3687750,0
4463750,3687750,0.0637515701076212
4464250,3687750,0.161226665316004
4464750,3687750,1
4465250,3687750,1
4465750,3687750,1
4466250,3687750,1
4466750,3687750,1
4467250,3687750,1
4467750,3687750,1
4468250,3687750,1
4468750,3687750,1
4469250,3687750,1
4469750,3687750,1
4470250,3687750,1
4470750,3687750,1
4471250,3687750,1
4471750,3687750,1
4472250,3687750,1
4472750,3687750,1
4473250,3687750,1
4473750,3687750,1
4474250,3687750,1
4474750,3687750,0
4475250,3687750,0
4475750,3687750,0
4476250,3687750,0
4476750,3687750,0
4477250,3687750,0
4477750,3687750,0
4478250,3687750,0
4478750,3687750,0
4479250,3687750,0
4479750,3687750,0
4480250,3687750,0
4480750,3687750,0
4481250,3687750,0
4481750,3687750,0
4482250,3687750,0
4482750,3687750,0.056922313423488
4483250,3687750,1
4483750,3687750,1
4484250,3687750,1
4484750,3687750,1
4485250,3687750,1
4485750,3687750,1
4486250,3687750,1
4486750,3687750,1
4487250,3687750,1
4487750,3687750,1
4488250,3687750,1
4488750,3687750,1
4489250,3687750,1
4489750,3687750,1
4490250,3687750,1
4490750,3687750,1
4491250,3687750,1
4491750,3687750,1
4492250,3687750,1
4492750,3687750,1
4493250,3687750,1
4493750,3687750,0.227949596596366
4494250,3687750,0
4494750,3687750,0
4495250,3687750,0
4495750,3687750,0
4496250,3687750,0
4496750,3687750,0
4497250,3687750,0
4497750,3687750,0
4498250,3687750,0
4498750,3687750,0
4499250,3687750,0
4499750,3687750,0
4500250,3687750,0
4500750,3687750,0
4501250,3687750,0
4501750,3687750,0
4502250,3687750,0
4502750,3687750,0
4503250,3687750,0
4503750,3687750,0
4504250,3687750,0
4504750,3687750,0
4505250,3687750,0
4505750,3687750,0
4506250,3687750,0
4506750,3687750,0
4507250,3687750,0
4507750,3687750,0
4508250,3687750,0
4508750,3687750,0
4509250,3687750,0
4509750,3687750,0
4510250,3687750,0
4510750,3687750,0
4511250,3687750,0
4511750,3687750,0
4512250,3687750,0
4512750,3687750,0
4513250,3687750,0
4513750,3687750,0
4459750,3687250,0
4460250,3687250,0
4460750,3687250,0
4461250,3687250,0
4461750,3687250,0
4462250,3687250,0
4462750,3687250,0
4463250,3687250,0.631469568336869
4463750,3687250,1
4464250,3687250,1
4464750,3687250,1
4465250,3687250,1
4465750,3687250,1
4466250,3687250,1
4466750,3687250,1
4467250,3687250,1
4467750,3687250,1
4468250,3687250,1
4468750,3687250,1
4469250,3687250,1
4469750,3687250,1
4470250,3687250,1
4470750,3687250,1
4471250,3687250,1
4471750,3687250,1
4472250,3687250,1
4472750,3687250,1
4473250,3687250,1
4473750,3687250,1
4474250,3687250,1
4474750,3687250,0.433086779884785
4475250,3687250,0
4475750,3687250,0
4476250,3687250,0
4476750,3687250,0
4477250,3687250,0
4477750,3687250,0
4478250,3687250,0
4478750,3687250,0
4479250,3687250,0
4479750,3687250,0
4480250,3687250,0
4480750,3687250,0
4481250,3687250,0
4481750,3687250,0
4482250,3687250,0
4482750,3687250,0
4483250,3687250,0.221097219588458
4483750,3687250,1
4484250,3687250,1
4484750,3687250,1
4485250,3687250,1
4485750,3687250,1
4486250,3687250,1
4486750,3687250,1
4487250,3687250,1
4487750,3687250,1
4488250,3687250,1
4488750,3687250,1
4489250,3687250,1
4489750,3687250,1
4490250,3687250,1
4490750,3687250,1
4491250,3687250,1
4491750,3687250,1
4492250,3687250,1
4492750,3687250,1
4493250,3687250,1
4493750,3687250,0.227949596596366
4494250,3687250,0
4494750,3687250,0
4495250,3687250,0
4495750,3687250,0
4496250,3687250,0
4496750,3687250,0
4497250,3687250,0
4497750,3687250,0
4498250,3687250,0
4498750,3687250,0
4499250,3687250,0
4499750,3687250,0
4500250,3687250,0
4500750,3687250,0
4501250,3687250,0
4501750,3687250,0
4502250,3687250,0
4502750,3687250,0
4503250,3687250,0
4503750,3687250,0
4504250,3687250,0
4504750,3687250,0
4505250,3687250,0
4505750,3687250,0
4506250,3687250,0
4506750,3687250,0
4507250,3687250,0
4507750,3687250,0
4508250,3687250,0
4508750,3687250,0
4509250,3687250,0
4509750,3687250,0
4510250,3687250,0
4510750,3687250,0
4511250,3687250,0
4511750,3687250,0
4512250,3687250,0
4512750,3687250,0
4513250,3687250,0
4513750,3687250,0
4459750,3686750,0
4460250,3686750,0
4460750,3686750,0
4461250,3686750,0
4461750,3686750,0.05290791855799
4462250,3686750,1
4462750,3686750,1
4463250,3686750,1
4463750,3686750,1
4464250,3686750,1
4464750,3686750,1
4465250,3686750,1
4465750,3686750,1
4466250,3686750,1
4466750,3686750,1
4467250,3686750,1
4467750,3686750,1
4468250,3686750,1
4468750,3686750,1
4469250,3686750,1
4469750,3686750,1
4470250,3686750,1
4470750,3686750,1
4471250,3686750,1
4471750,3686750,1
4472250,3686750,1
4472750,3686750,1
4473250,3686750,1
4473750,3686750,1
4474250,3686750,1
4474750,3686750,1
4475250,3686750,0
4475750,3686750,0
4476250,3686750,0
4476750,3686750,0
4477250,3686750,0
4477750,3686750,0
4478250,3686750,0
4478750,3686750,0
4479250,3686750,0
4479750,3686750,0
4480250,3686750,0
4480750,3686750,0
4481250,3686750,0
4481750,3686750,0
4482250,3686750,0
4482750,3686750,0
4483250,3686750,0
4483750,3686750,0.0343632448850377
4484250,3686750,1
4484750,3686750,1
4485250,3686750,1
4485750,3686750,1
4486250,3686750,1
4486750,3686750,1
4487250,3686750,1
4487750,3686750,1
4488250,3686750,1
4488750,3686750,1
4489250,3686750,1
4489750,3686750,1
4490250,3686750,1
4490750,3686750,1
4491250,3686750,1
4491750,3686750,1
4492250,3686750,1
4492750,3686750,1
4493250,3686750,1
4493750,3686750,0
4494250,3686750,0
4494750,3686750,0
4495250,3686750,0
4495750,3686750,0
4496250,3686750,0
4496750,3686750,0
4497250,3686750,0
4497750,3686750,0
4498250,3686750,0
4498750,3686750,0
4499250,3686750,0
4499750,3686750,0
4500250,3686750,0
4500750,3686750,0
4501250,3686750,0
4501750,3686750,0
4502250,3686750,0
4502750,3686750,0
4503250,3686750,0
4503750,3686750,0
4504250,3686750,0
4504750,3686750,0
4505250,3686750,0
4505750,3686750,0
4506250,3686750,0
4506750,3686750,0
4507250,3686750,0
4507750,3686750,0
4508250,3686750,0
4508750,3686750,0
4509250,3686750,0
4509750,3686750,0
4510250,3686750,0
4510750,3686750,0
4511250,3686750,0
4511750,3686750,0
4512250,3686750,0
4512750,3686750,0
4513250,3686750,0
4513750,3686750,0
4459750,3686250,0
4460250,3686250,0
4460750,3686250,0
4461250,3686250,0.629410572129771
4461750,3686250,1
4462250,3686250,1
4462750,3686250,1
4463250,3686250,1
4463750,3686250,1
4464250,3686250,1
4464750,3686250,1
4465250,3686250,1
4465750,3686250,1
4466250,3686250,1
4466750,3686250,1
4467250,3686250,1
4467750,3686250,1
4468250,3686250,1
4468750,3686250,1
4469250,3686250,1
4469750,3686250,1
4470250,3686250,1
4470750,3686250,1
4471250,3686250,1
4471750,3686250,1
4472250,3686250,1
4472750,3686250,1
4473250,3686250,1
4473750,3686250,1
4474250,3686250,1
4474750,3686250,1
4475250,3686250,0.236757292945612
4475750,3686250,0
4476250,3686250,0
4476750,3686250,0
4477250,3686250,0
4477750,3686250,0
4478250,3686250,0
4478750,3686250,0
4479250,3686250,0
4479750,3686250,0
4480250,3686250,0
4480750,3686250,0
4481250,3686250,0
4481750,3686250,0
4482250,3686250,0
4482750,3686250,0
4483250,3686250,0
4483750,3686250,0
4484250,3686250,0.224606112739076
4484750,3686250,1
4485250,3686250,1
4485750,3686250,1
4486250,3686250,1
4486750,3686250,1
4487250,3686250,1
4487750,3686250,1
4488250,3686250,1
4488750,3686250,1
4489250,3686250,1
4489750,3686250,1
4490250,3686250,1
4490750,3686250,1
4491250,3686250,1
4491750,3686250,1
4492250,3686250,1
4492750,3686250,1
4493250,3686250,0.83690921417371
4493750,3686250,0
4494250,3686250,0
4494750,3686250,0
4495250,3686250,0
4495750,3686250,0
4496250,3686250,0
4496750,3686250,0
4497250,3686250,0
4497750,3686250,0
4498250,3686250,0
4498750,3686250,0
4499250,3686250,0
4499750,3686250,0
4500250,3686250,0
4500750,3686250,0
4501250,3686250,0
4501750,3686250,0
4502250,3686250,0
4502750,3686250,0
4503250,3686250,0
4503750,3686250,0
4504250,3686250,0
4504750,3686250,0
4505250,3686250,0
4505750,3686250,0
4506250,3686250,0
4506750,3686250,0
4507250,3686250,0
4507750,3686250,0
4508250,3686250,0
4508750,3686250,0
4509250,3686250,0
4509750,3686250,0
4510250,3686250,0
4510750,3686250,0
4511250,3686250,0
4511750,3686250,0
4512250,3686250,0
4512750,3686250,0
4513250,3686250,0
4513750,3686250,0
4459750,3685750,0
4460250,3685750,1
4460750,3685750,1
4461250,3685750,1
4461750,3685750,1
4462250,3685750,1
4462750,3685750,1
4463250,3685750,1
4463750,3685750,1
4464250,3685750,1
4464750,3685750,1
4465250,3685750,1
4465750,3685750,1
4466250,3685750,1
4466750,3685750,1
4467250,3685750,1
4467750,3685750,1
4468250,3685750,1
4468750,3685750,1
4469250,3685750,1
4469750,3685750,1
4470250,3685750,1
4470750,3685750,1
4471250,3685750,1
4471750,3685750,1
4472250,3685750,1
4472750,3685750,1
4473250,3685750,1
4473750,3685750,1
4474250,3685750,1
4474750,3685750,1
4475250,3685750,1
4475750,3685750,0
4476250,3685750,0
4476750,3685750,0
4477250,3685750,0
4477750,3685750,0
4478250,3685750,0
4478750,3685750,0
4479250,3685750,0
4479750,3685750,0
4480250,3685750,0
4480750,3685750,0
4481250,3685750,0
4481750,3685750,0
4482250,3685750,0
4482750,3685750,0
4483250,3685750,0
4483750,3685750,0
4484250,3685750,0
4484750,3685750,0
4485250,3685750,0.468822556193504
4485750,3685750,0.941915089032428
4486250,3685750,1
4486750,3685750,1
4487250,3685750,1
4487750,3685750,1
4488250,3685750,1
4488750,3685750,1
4489250,3685750,1
4489750,3685750,1
4490250,3685750,0.941915089032428
4490750,3685750,0.941915089032428
4491250,3685750,0.941915089032428
4491750,3685750,0.941915089032428
4492250,3685750,0.941915089032428
4492750,3685750,0
4493250,3685750,0
4493750,3685750,0
4494250,3685750,0
4494750,3685750,0
4495250,3685750,0
4495750,3685750,0
4496250,3685750,0
4496750,3685750,0
4497250,3685750,0
4497750,3685750,0
4498250,3685750,0
4498750,3685750,0
4499250,3685750,0
4499750,3685750,0
4500250,3685750,0
4500750,3685750,0
4501250,3685750,0
4501750,3685750,0
4502250,3685750,0
4502750,3685750,0
4503250,3685750,0
4503750,3685750,0
4504250,3685750,0
4504750,3685750,0
4505250,3685750,0
4505750,3685750,0
4506250,3685750,0
4506750,3685750,0
4507250,3685750,0
4507750,3685750,0
4508250,3685750,0
4508750,3685750,0
4509250,3685750,0
4509750,3685750,0
4510250,3685750,0
4510750,3685750,0
4511250,3685750,0
4511750,3685750,0
4512250,3685750,0
4512750,3685750,0
4513250,3685750,0
4513750,3685750,0
4459750,3685250,1
4460250,3685250,1
4460750,3685250,1
4461250,3685250,1
4461750,3685250,1
4462250,3685250,1
4462750,3685250,1
4463250,3685250,1
4463750,3685250,1
4464250,3685250,1
4464750,3685250,1
4465250,3685250,1
4465750,3685250,1
4466250,3685250,1
4466750,3685250,1
4467250,3685250,1
4467750,3685250,1
4468250,3685250,1
4468750,3685250,1
4469250,3685250,1
4469750,3685250,1
4470250,3685250,1
4470750,3685250,1
4471250,3685250,1
4471750,3685250,1
4472250,3685250,1
4472750,3685250,1
4473250,3685250,1
4473750,3685250,1
4474250,3685250,1
4474750,3685250,1
4475250,3685250,1
4475750,3685250,0
4476250,3685250,0
4476750,3685250,0
4477250,3685250,0
4477750,3685250,0
4478250,3685250,0
4478750,3685250,0
4479250,3685250,0
4479750,3685250,0
4480250,3685250,0
4480750,3685250,0
4481250,3685250,0
4481750,3685250,0
4482250,3685250,0
4482750,3685250,0
4483250,3685250,0
4483750,3685250,0
4484250,3685250,0
4484750,3685250,0
4485250,3685250,0
4485750,3685250,0
4486250,3685250,0.214588245234982
4486750,3685250,0.455424983734997
4487250,3685250,1
4487750,3685250,1
4488250,3685250,1
4488750,3685250,1
4489250,3685250,1
